Country,World Bank Income Group,Region,Koppen Climate Classification of Capital City,Usage,Corruption & Governance Index,Health Spend Index,Education Index,Infrastructure Index,GDP per head,Climate Index,META-DATA E.coli per cent resistance 3rd gen ceph*,META-DATA E.coli per cent resistance FQs*,Average Ecoli Resistance to 3GCeph & FQ unstandardized,Average All Resistance Unstandardized,Logit of META-DATA E.coli per cent resistance 3rd gen ceph*,Logit of META-DATA E.coli per cent resistance FQs*,Logit of Average Ecoli Resistance unstandardized,Logit of Average All Resistance Unstandardized,Missing Usage,Missing: Data Not in ECDC database,Missing META-DATA E.coli 3rd gen ceph*,Missing META-DATA E.coli FQs*,
Philippines,Lower middle income,East Asia & Pacific,Tropical monsoon,2.2,-0.70,-1.53,0.37,-0.40,-0.85,1.67,26.7,40.9,33.80,32.88,-1.01,-0.37,-0.67,-0.71,0,1,0,0,
Poland,High income,Europe & Central Asia,"Mild temperate, fully humid",9.3,0.78,0.17,0.67,0.43,0.07,-1.02,11.7,27.3,19.50,25.46,-2.02,-0.98,-1.42,-1.07,0,0,0,0,
Portugal,High income,Europe & Central Asia,Mild temperate with dry summer,9.3,0.86,0.78,0.46,0.48,0.13,-0.29,11.3,27.2,19.25,25.82,-2.06,-0.98,-1.43,-1.06,0,0,0,0,
Republic of Moldova,Lower middle income,Europe & Central Asia,"Mild temperate, fully humid",,-0.62,0.62,0.55,-0.28,-0.96,-1.02,28.0,15.3,21.65,28.92,-0.94,-1.71,-1.29,-0.90,1,1,0,0,
Russian Federation,Upper middle income,Europe & Central Asia,"Snow, fully humid",6.2,-1.02,-0.11,0.69,0.31,0.01,-2.07,18.0,25.7,21.86,41.46,-1.52,-1.06,-1.27,-0.34,0,1,0,0,
Rwanda,Low income,Sub-Saharan Africa,Tropical savannah with dry winter,,0.20,-0.62,-1.45,-1.89,-1.12,0.19,21.4,56.0,38.72,38.72,-1.30,0.24,-0.46,-0.46,1,1,0,0,
Saudi Arabia,High income,Middle East & North Africa,Desert (arid),11.1,-0.16,-0.15,0.23,0.61,1.33,-0.23,15.9,40.9,28.38,30.56,-1.67,-0.37,-0.93,-0.82,0,1,0,0,
Serbia,Upper middle income,Europe & Central Asia,"Mild temperate, fully humid",10.6,-0.45,0.92,0.59,0.28,-0.53,-0.75,21.3,16.0,18.65,35.11,-1.31,-1.66,-1.47,-0.61,0,1,0,0,
Singapore,High income,East Asia & Pacific,Tropical rain forest,5.7,0.38,-1.02,0.44,0.99,2.83,1.84,20.0,37.8,28.87,25.08,-1.39,-0.50,-0.90,-1.09,0,1,0,0,
Slovakia,High income,Europe & Central Asia,"Mild temperate, fully humid",9.2,0.40,0.59,0.68,0.52,0.22,-0.69,31.0,41.9,36.45,35.12,-0.80,-0.33,-0.56,-0.61,0,0,0,0,
Slovenia,High income,Europe & Central Asia,"Mild temperate, fully humid",6.3,0.74,0.85,0.72,0.41,0.26,-0.49,8.8,20.7,14.75,14.60,-2.34,-1.34,-1.75,-1.77,0,0,0,0,
